Strain,Type,Rating,Effects,Flavor,Breeders,LOCATION
Kali-Mist,sativa,4.1,"Energetic,Focused,Uplifted,Euphoric,Creative","Woody,Earthy,Citrus",,
Kandahar,indica,4.7,"Relaxed,Sleepy,Euphoric,Uplifted,Giggly","Apricot,Earthy,Spicy/Herbal",Ministry of Cannabis,
Kandy-Kush,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Hungry","Sweet,Citrus,Lemon",,
Kaptns-Grand-Dream,hybrid,4,"Uplifted,Euphoric,Giggly,Happy,Relaxed","Ammonia,Blueberry,Grape",,
Karma-Bitch,hybrid,4.4,"Uplifted,Creative,Happy,Focused,Relaxed","Earthy,Coffee,Tea",Rare Dankness Seeds,Colorado
Katsu-Bubba-Kush,indica,4.4,"Relaxed,Uplifted,Happy,Euphoric,Giggly","Lime,Sweet,Minty",,
Katsu-Kush,indica,4.1,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Sweet,Woody",,
Kauai-Electric,sativa,4.8,"Creative,Energetic,Happy,Focused,Uplifted","Orange,Tree,Fruit,Sweet",,
Kc-33,hybrid,4.4,"Relaxed,Tingly,Euphoric,Happy,Hungry","Citrus,Lemon,Sweet",KC Brains,Holland
Kc-36,indica,4.2,"Sleepy,Relaxed,Uplifted,Euphoric,Hungry","Sweet,Blueberry,Grape",KC Brains,Holland
Kelly-Hill-Gold,indica,5,"Happy,Energetic,Euphoric,Talkative,Aroused","Pepper,Earthy,Coffee",Joseph Arthur Botanicals,Colorado
Kens-Kush,hybrid,4.2,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Earthy,Skunk,Spicy/Herbal",Ken Estes,
Kerala-Krush,sativa,4.6,"Energetic,Happy,Hungry,Focused,Relaxed","Mango,Sweet,Orange",Flying Dutchman,"Castle Rock, Washington"
Key-Lime-Haze,sativa,4.2,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Lime,Citrus,Sweet",,
Key-Lime-Pie,hybrid,4.5,"Happy,Relaxed,Uplifted,Sleepy,Creative","Lime,Sweet,Citrus",Burning Bush Nurseries,
Khalifa-Kush,hybrid,4.7,"Happy,Relaxed,Uplifted,Euphoric,Creative","Earthy,Pine,Lemon",Unknown,
Khola,hybrid,4.2,"Giggly,Hungry,Aroused,Euphoric,Uplifted",,Dutch Passion Seed Company,Amsterdam
Khufu,indica,4.2,"Relaxed,Euphoric,Happy,Focused,Sleepy","Pungent,Sweet,Woody",The Devil’s Harvest Seed Company,
Kid-N-Cookies,hybrid,4.6,"Happy,Relaxed,Tingly,Giggly,Hungry","Earthy,Pine,Skunk",Loud Seeds,California
Kilimanjaro,sativa,4.5,"Happy,Focused,Uplifted,Creative,Energetic","Lemon,Earthy,Spicy/Herbal",Unknown,Tanzania
Kill-Bill,hybrid,4.4,"Relaxed,Sleepy,Euphoric,Hungry,Tingly","Pine,Diesel,Sage",Reservoir Seeds,
Killer-Grape,hybrid,4.6,"Euphoric,Uplifted,Happy,Sleepy,Tingly","Sweet,Grape,Tropical",,
Killer-Queen,hybrid,4.3,"Happy,Energetic,Creative,Uplifted,Talkative","Citrus,Sweet,Tropical",,
Killing-Fields,sativa,4.5,"Energetic,Happy,Focused,Euphoric,Uplifted","Lemon,Citrus,Pungent",Sannie’s Seeds,
Kimbo-Kush,hybrid,4.5,"Relaxed,Sleepy,Happy,Focused,Uplifted","Earthy,Sweet,Pungent",,
King-Cake,hybrid,4.8,"Relaxed,Euphoric,Uplifted,Happy,Aroused","Sweet,Vanilla,Skunk",Golden Beaverf Farms,
King-Kong,hybrid,4.2,"Happy,Focused,Giggly,Relaxed,Uplifted","Earthy,Flowery,Pungent",,
King-Kush,indica,4.3,"Relaxed,Happy,Hungry,Euphoric,Sleepy","Diesel,Sweet,Earthy",Green House Seeds,"Amsterdam, Netherlands"
King-Louis,indica,4.6,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Woody,Pine",,
Kings-Bread,sativa,4.2,"Focused,Relaxed,Creative,Uplifted,Euphoric","Earthy,Citrus,Lemon",,Jamaica
Kiss,hybrid,4,None,None,Reservoir Seeds,
Kiwiskunk,indica,3.9,"Happy,Hungry,Sleepy,Aroused,Tingly","Spicy/Herbal,Pungent,Woody",,
Kobain-Kush,indica,4.3,"Hungry,Aroused,Relaxed,Happy,Euphoric","Earthy,Ammonia,Chestnut",,
Kona-Gold,sativa,4.4,"Happy,Uplifted,Energetic,Euphoric,Giggly","Tropical,Pineapple,Orange",,Hawaii
Kong,hybrid,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Woody,Skunk",Holy Smoke Seeds,
Kool-Aid-Smile,indica,4.8,"Relaxed,Happy,Talkative,Uplifted,Creative","Sage,Berry,Grape",Andromeda Strains,
Kosher-Kush,indica,4.5,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Pungent,Woody",DNA Genetics,"Amsterdam,Canada, California"
Kosher-Tangie,hybrid,4.5,"Happy,Relaxed,Uplifted,Creative,Euphoric","Citrus,Pine,Orange",DNA Genetics,"Amsterdam,Canada, California"
Krakatoa,hybrid,4,"Energetic,Euphoric,Sleepy,Uplifted,Happy",,,
Kraken,indica,4.4,"Euphoric,Happy,Creative,Energetic,Relaxed","Butter,Citrus,Cheese",Buddha Seeds,
Krishna-Kush,indica,4.9,"Relaxed,Happy,Giggly,Aroused,Sleepy","Sweet,Berry,Lavender",Colorado Seed Inc.,"Boulder, Colorado"
Kryptonite,indica,4.3,"Relaxed,Happy,Euphoric,Creative,Giggly","Flowery,Tropical,Sweet",Oaksterdam University,
Kt-Dawg,hybrid,4.8,"Uplifted,Happy,Relaxed,Giggly,Euphoric","Sweet,Flowery,Earthy",,
Kuato,hybrid,5,"Talkative,Euphoric,Aroused,Tingly,Uplifted","Sweet,Orange,Pungent",Terraform Genetics,
Kubbie-Kush,indica,3,"Relaxed,Sleepy,Euphoric,Happy","Berry,Blueberry,Flowery",Cresco Labs,"Chicago, Illinois"
Kuchi,hybrid,3.6,"Aroused,Creative,Energetic,Euphoric,Focused","Sweet,Earthy,Lemon",Devil’s Harvest Seed Company,
Kurple-Fantasy,hybrid,4.7,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Earthy,Grape,Flowery",,
Kush-Cleaner,hybrid,4.6,"Relaxed,Euphoric,Aroused,Creative,Energetic","Woody,Pine,Diesel",,
Kush-N-Cheese,hybrid,4,"Relaxed,Focused,Uplifted,Sleepy,Happy","Sweet,Lemon,Cheese",Dinafem Seeds,"Barcelona, Spain"
Kush-Rise,hybrid,3.5,"Relaxed,Creative,Euphoric",None,Colorado Seed Inc.,"Boulder, Colorado"
Kushadelic,indica,4.5,"Relaxed,Sleepy,Euphoric,Uplifted,Focused","Pungent,Pine,Earthy",Soma Sacred Seeds,"Amsterdam, Netherlands"
Kushage,hybrid,4.4,"Relaxed,Happy,Euphoric,Hungry,Tingly","Earthy,Sage,Spicy/Herbal",THSeeds,"Amsterdam, Netherlands"
Kushashima,hybrid,4,"Relaxed,Sleepy,Uplifted,Creative,Energetic","Pungent,Pine,Sweet",,
Kushberry,indica,4.3,"Relaxed,Sleepy,Happy,Uplifted,Creative","Berry,Earthy,Lemon",DNA Genetics,"Amsterdam,Canada, California"
La-Chocolat,hybrid,4.5,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Earthy,Coffee,Sweet",DNA Genetics,"Amsterdam,Canada, California"
La-Confidential,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Sweet,Earthy,Pine",,
La-Jack,hybrid,3.7,"Euphoric,Creative,Relaxed,Sleepy,Tingly","Berry,Apple,Blueberry",,
La-Kookies,hybrid,4.7,"Hungry,Relaxed,Happy,Creative,Talkative","Earthy,Coffee,Berry",,
La-Kush,hybrid,4.5,"Relaxed,Happy,Creative,Uplifted,Euphoric","Menthol,Pungent,Pine",,
La-Nina,sativa,4.7,"Uplifted,Creative,Energetic,Talkative,Euphoric","Sweet,Earthy",,
La-Og,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Earthy,Berry,Flowery",,
La-Sunshine,hybrid,4.7,"Uplifted,Energetic,Happy,Euphoric,Creative","Citrus,Earthy,Spicy/Herbal",,
La-Ultra,indica,4.7,"Relaxed,Euphoric,Happy,Sleepy,Tingly","Lemon,Chemical,Diesel",Resin Seeds,Spain
La-Woman,hybrid,4.2,"Relaxed,Euphoric,Tingly,Happy,Sleepy","Earthy,Pungent,Pine",DNA Genetics,"Amsterdam,Canada, California"
Lady-Liberty,hybrid,4.2,"Sleepy,Hungry,Relaxed",Sweet,,
Ladyburn-1974,hybrid,4,"Relaxed,Sleepy,Creative,Giggly,Hungry","Earthy,Pepper,Ammonia",Green House Seeds,"Amsterdam, Netherlands"
Lak-Federal-Reserve,indica,5,"Relaxed,Tingly,Hungry,Uplifted,Creative","Lemon,Earthy,Sweet",Los Angeles Kush,Southern California
Lake-Of-Fire,hybrid,4.6,"Euphoric,Uplifted,Happy,Relaxed,Aroused","Diesel,Pine,Earthy",RedEyed Genetics,
Lamb-S-Bread,sativa,4.4,"Euphoric,Creative,Happy,Uplifted,Energetic","Earthy,Woody,Pungent",,
Lambo-Og,hybrid,4.5,"Happy,Euphoric,Sleepy,Hungry,Relaxed","Tropical,Sweet,Ammonia",THSeeds,"Amsterdam, Netherlands"
Lamborghini,hybrid,4,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Diesel,Pine,Lime",,
Lapd,hybrid,4.7,"Uplifted,Energetic,Happy,Relaxed,Creative","Diesel,Pepper,Pungent",California Bean Bank,
Larry-Bird-Kush,hybrid,4.9,"Relaxed,Euphoric,Energetic,Happy,Uplifted","Sweet,Orange,Earthy",Cookie Fam Genetics,
Larry-Og,hybrid,4.3,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Lemon,Pine,Citrus",,
Las-Vegas-Purple-Kush-Bx,indica,5,"Sleepy,Happy,Relaxed,Aroused,Creative",None,,
Lashkar-Gah,indica,4.7,"Relaxed,Euphoric,Sleepy,Hungry,Happy","Earthy,Pungent,Sweet",,
Laughing-Buddha,sativa,4.4,"Happy,Euphoric,Uplifted,Energetic,Giggly","Tropical,Sweet,Spicy/Herbal",Barney's Farm,"Amsterdam, Westmont, Illinois"
Laughing-Gas,hybrid,0,"Energetic,Giggly,Happy,Talkative,Tingly",None,TKO Reserve,
Lavender,indica,4.1,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Lavender,Flowery,Sweet",Soma Sacred Seeds,"Amsterdam, Netherlands"
Lavender-Haze,sativa,4.1,"Euphoric,Uplifted,Energetic,Happy,Relaxed","Lavender,Flowery,Earthy",,
Lavender-Jones,hybrid,4.4,"Happy,Relaxed,Euphoric,Uplifted,Creative","Lavender,Earthy,Sweet",,
Lazy-Train,hybrid,0,None,None,,
Le-Silver-Royale,hybrid,4.5,"Uplifted,Talkative,Euphoric,Happy,Energetic","Skunk,Cheese,Woody",Kleen Karma Gardens,Oregon
Leagle-Eagle,hybrid,4.7,"Energetic,Creative,Talkative,Focused,Uplifted","Sweet,Diesel,Skunk",L'Eagle Services,
Leda-Uno,sativa,5,"Tingly,Focused,Hungry",None,,
Lee-Roy,indica,4.7,"Relaxed,Euphoric,Sleepy,Uplifted,Tingly","Lime,Lemon,Citrus",Rare Dankness Seeds,Colorado
Legalized-Og,hybrid,4.8,"Hungry,Sleepy,Relaxed,Happy,Focused","Pungent,Chemical,Spicy/Herbal",,
Legend-Of-Nigeria,sativa,0,None,None,Swamp Boys Seeds,
Legend-Og,indica,4.6,"Relaxed,Sleepy,Happy,Creative,Focused","Pungent,Earthy,Pine",,
Legendary-Lemon,sativa,4,"Aroused,Euphoric,Relaxed,Creative,Sleepy","Apricot,Chemical,Blueberry",,
Lem-Chem,hybrid,4,"Energetic,Focused,Hungry",,,
Lemon-Alien-Dawg,hybrid,4.5,"Relaxed,Creative,Focused,Aroused,Sleepy","Pungent,Pine,Earthy",Alien Genetics,"Humboldt, California"
Lemon-Bananas,hybrid,5,"Talkative,Tingly,Uplifted,Creative,Energetic","Spicy/Herbal,Lime,Lemon",,
Lemon-Bubble,sativa,4.6,"Happy,Energetic,Talkative,Euphoric,Uplifted","Lemon,Citrus,Sweet",Pheno Finder Seeds,
Lemon-Cake,sativa,4.3,"Relaxed,Uplifted,Happy,Energetic,Euphoric","Lemon,Cheese,Sweet",Heavyweight Seeds,
Lemon-Crme,sativa,0,None,None,Love Genetics,
Lemon-Daddy,hybrid,4.1,"Energetic,Happy,Focused,Giggly,Relaxed","Lemon,Citrus,Earthy",,
Lemon-Diesel,hybrid,4.2,"Euphoric,Happy,Relaxed,Creative,Energetic","Lemon,Diesel,Citrus",Green Lantern Seeds,
Lemon-Drop,hybrid,4.1,"Happy,Euphoric,Focused,Uplifted,Relaxed","Lemon,Citrus,Pine",,
Lemon-Fire,hybrid,4.7,"Happy,Uplifted,Energetic,Euphoric,Focused","Citrus,Lemon,Earthy",Mr B Extracts,
Lemon-G,sativa,4.4,"Relaxed,Euphoric,Happy,Uplifted,Creative","Lemon,Sweet,Pungent",,
Lemon-Haze,sativa,4.3,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Lemon,Citrus,Sweet",,
Lemon-Ice,sativa,4.6,"Energetic,Euphoric,Happy,Creative,Focused","Lemon,Citrus,Diesel",Ripper Seeds,
Lemon-Jack,sativa,4.4,"Focused,Energetic,Happy,Uplifted,Creative","Lemon,Citrus,Sweet",,
Lemon-Jeffery,hybrid,4.5,None,"Sweet,Citrus,Lemon",Irie Genetics,
Lemon-Kush,hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Energetic","Lemon,Citrus,Earthy",Alien Genetics,"Humboldt, California"
Lemon-Larry-Lavender,hybrid,4.1,"Relaxed,Focused,Giggly,Uplifted,Creative","Citrus,Lemon,Lavender",Big Buddha Seeds,United Kingdom
Lemon-Marmalade,hybrid,4.8,"Uplifted,Happy,Euphoric,Relaxed,Tingly","Lemon,Diesel,Sweet",Platinum Extracts,
Lemon-Meringue,sativa,4.7,"Uplifted,Happy,Energetic,Creative,Relaxed","Lemon,Citrus,Sweet",Exotic Genetix,"Tacoma, Washington"
Lemon-Og,hybrid,4.3,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Lemon,Citrus,Earthy",,
Lemon-Og-Haze,hybrid,4.5,"Energetic,Happy,Focused,Euphoric,Creative","Lemon,Citrus,Lime",Nirvana Seeds,"Amsterdam, Netherlands"
Lemon-Pie,sativa,4.2,"Energetic,Euphoric,Uplifted,Talkative,Happy","Lemon,Citrus,Diesel",Leaf by Snoop,
Lemon-Sativa,sativa,4.2,"Happy,Euphoric,Energetic,Creative,Focused","Lemon,Citrus,Earthy",,
Lemon-Skunk,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Focused","Lemon,Skunk,Citrus",DNA Genetics,"Amsterdam,Canada, California"
Lemon-Thai,sativa,4.1,"Focused,Happy,Creative,Talkative,Energetic","Lemon,Citrus,Earthy",,
Lemon-Walker-Og,hybrid,4.4,"Relaxed,Uplifted,Happy,Focused,Energetic","Citrus,Lemon,Pungent",,
Lemon-Wreck,hybrid,4.1,"Relaxed,Creative,Euphoric,Tingly,Focused","Lemon,Citrus,Diesel",,
Lemonberry,hybrid,4.3,"Euphoric,Energetic,Giggly,Happy,Creative","Lemon,Sweet,Blueberry",Fusion Seeds,
Lemonder,hybrid,4.5,"Happy,Uplifted,Giggly,Energetic,Euphoric","Citrus,Lemon,Earthy",,
Lemonhead-Og,hybrid,4.9,"Relaxed,Uplifted,Happy,Euphoric,Creative","Lemon,Citrus,Sweet",Royal Choice Farms,
Lennon,sativa,0,None,None,Pyramid Seeds,
Leonidas,sativa,4,"Focused,Aroused,Uplifted,Creative,Energetic","Grape,Lavender,Violet","Canadian LP Tweed, Inc",Canada
Lethal-Purple,hybrid,3.3,"Talkative,Creative,Euphoric,Happy,Hungry","Sweet,Grape,Flowery",Great White North Seeds,Canada
Liberty-Haze,hybrid,4.5,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Citrus,Lime,Sweet",,
Lifesaver,hybrid,4.5,"Relaxed,Euphoric,Energetic,Uplifted,Tingly","Citrus,Sweet,Berry",,
Light-Of-Jah,sativa,4.6,"Happy,Uplifted,Energetic,Euphoric,Relaxed","Spicy/Herbal,Tropical,Pungent",,
Lime-Green-Skunk,hybrid,4.5,"Happy,Euphoric,Uplifted,Relaxed,Focused","Lime,Citrus,Tropical",,
Lime-Purple-Mist,indica,4.3,"Happy,Relaxed,Tingly,Sleepy,Uplifted","Berry,Lime,Sweet",,
Lime-Skunk,sativa,4.8,"Uplifted,Creative,Happy,Euphoric,Energetic","Lime,Citrus,Pungent",Exotic Genetix,"Tacoma, Washington"
Lime-Sorbet,indica,5,"Relaxed,Euphoric,Sleepy,Happy,Giggly","Lime,Citrus,Sweet",Cresco Labs,"Chicago, Illinois"
Limon,sativa,4.8,"Happy,Creative,Euphoric,Energetic,Giggly","Lemon,Citrus,Diesel",LivWell,
Lions-Gate,indica,4.4,"Happy,Uplifted,Energetic,Focused,Creative","Menthol,Sage,Citrus",,
Liquid-Butter,indica,4.5,"Relaxed,Sleepy,Happy,Talkative,Giggly","Butter,Earthy,Woody",,
Little-Devil,hybrid,4.2,"Uplifted,Energetic,Happy,Relaxed,Aroused",None,Tikum Olam,Alaska
Little-Dragon,hybrid,5,"Uplifted,Euphoric,Happy,Relaxed,Talkative","Diesel,Minty,Woody",,
Locktite,hybrid,4.3,"Relaxed,Happy,Uplifted,Tingly,Euphoric","Diesel,Citrus,Woody",,
Locomotion,indica,4.6,"Euphoric,Happy,Relaxed,Uplifted,Aroused","Earthy,Sweet,Pungent",Heroes of the Farm Genetics ,
Lodi-Dodi,hybrid,4.5,"Happy,Giggly,Energetic,Euphoric,Uplifted","Sweet,Flowery,Tropical",The Clone Zone,
Logic-Diesel,hybrid,4.8,"Talkative,Energetic,Happy,Uplifted,Euphoric","Diesel,Skunk,Minty",GroundSwell Cannabis Boutique,
Longbottom-Leaf,hybrid,4.8,"Euphoric,Happy,Uplifted,Energetic,Hungry","Pepper,Sweet,Spicy/Herbal",,
Lost-Coast-Og,hybrid,4.5,"Relaxed,Euphoric,Uplifted,Happy,Creative","Earthy,Lemon,Citrus",,
Lost-Sierra-Night-Nurse,hybrid,0,None,None,"Red Dirt Ridge Genetics of Paradise, CA for Lost Sierra Cannabis Company",
Loud-Dream,hybrid,4.1,"Happy,Focused,Euphoric,Creative,Uplifted","Pine,Earthy,Spicy/Herbal",Loud Seeds,California
Loud-Scout,hybrid,4.4,"Relaxed,Happy,Focused,Uplifted,Energetic","Grape,Sweet,Tropical",Loud Seeds,California
Love-Potion,sativa,4.4,"Happy,Talkative,Euphoric,Relaxed,Energetic","Skunk,Citrus,Grapefruit",Reeferman Seeds,Mexico
Love-Potion-9,indica,4.2,"Euphoric,Happy,Talkative,Focused,Energetic","Sweet,Flowery,Honey",,
Lowryder,hybrid,4.4,"Relaxed,Uplifted,Happy,Creative,Sleepy","Sweet,Pine,Citrus",Joint Doctor Seeds,Canada
Loyality,hybrid,5,"Tingly,Relaxed,Focused,Uplifted,Creative","Pungent,Citrus,Earthy",TSL Farms,Los Angeles
Lsd,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Creative","Earthy,Pungent,Citrus",Barney's Farm,"Amsterdam, Westmont, Illinois"
Luca-Brasi,hybrid,5,None,None,,
Luca-Brasi-X-Sour-Diesel,hybrid,4.4,"Focused,Energetic,Uplifted,Happy,Relaxed","Earthy,Lemon,Pungent",The Bank,
Lucid-Bolt,indica,5,"Giggly,Hungry,Relaxed,Sleepy,Talkative","Blueberry,Berry,Earthy",,
Lucid-Dream,hybrid,4.6,"Energetic,Euphoric,Uplifted,Focused,Relaxed","Berry,Blueberry,Sweet",,
Lucky-Charms,hybrid,4.5,"Euphoric,Happy,Relaxed,Uplifted,Tingly","Berry,Sweet,Citrus",Bodhi Seeds,"Afghanistan, Hawaii and Nepal"
Lucy,hybrid,4.4,"Relaxed,Sleepy,Uplifted,Happy,Hungry","Earthy,Woody,Sweet",Unknown,
Lvpk,hybrid,4.6,"Happy,Relaxed,Hungry,Sleepy,Uplifted","Sweet,Earthy,Berry",,
M-39,indica,3.2,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Woody,Earthy,Lemon",,
Mad-Dawg,hybrid,4.5,"Happy,Uplifted,Hungry,Talkative,Energetic","Sweet,Earthy,Citrus",,
Mad-Scientist,indica,4.6,"Relaxed,Uplifted,Focused,Euphoric,Happy","Woody,Pungent,Pine",,
Madagascar,indica,4.1,"Sleepy,Relaxed,Hungry,Happy,Euphoric","Earthy,Sweet,Skunk",,
Madcow,sativa,3.4,"Sleepy,Uplifted,Energetic,Relaxed,Talkative","Sweet,Earthy,Ammonia",,
Madman-Og,hybrid,4.6,"Relaxed,Sleepy,Hungry,Uplifted,Euphoric","Earthy,Pine,Woody",Ocean grown Genetics,California
Madzilla,indica,5,"Tingly,Uplifted,Euphoric,Happy,Relaxed","Earthy,Woody,Pine",,Los Angeles
Mag-Landrace,indica,4.6,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Earthy,Sweet,Pungent",Ataraxia,Iran
Magic-Beans-Og,indica,4.2,"Happy,Sleepy,Euphoric,Relaxed,Tingly","Lemon,Woody,Pine",,
Magic-Jordan,hybrid,4,"Euphoric,Focused,Tingly,Uplifted,Creative","Minty,Orange,Lemon",Colorado Seed Inc.,"Boulder, Colorado"
Magnum,hybrid,3.9,"Energetic,Happy,Creative,Uplifted,Euphoric","Earthy,Citrus,Lemon",Buddha Seeds,Spain
Magnum-Pi,sativa,4.3,"Uplifted,Focused,Energetic,Euphoric,Creative","Tropical,Citrus,Orange",,
Mai-Tai-Cookies,hybrid,4.9,"Happy,Relaxed,Euphoric,Creative,Uplifted","Orange,Tree,Fruit,Spicy/Herbal",Terraform Genetics,
Majestic-12,hybrid,4.8,"Relaxed,Tingly,Happy,Euphoric,Creative","Earthy,Sweet,Berry",,
Mako-Haze,sativa,4.2,"Euphoric,Happy,Relaxed,Hungry,Uplifted","Pine,Citrus,Earthy",,
Malakoff,sativa,3.7,"Focused,Talkative,Creative,Energetic,Happy","Sweet,Earthy,Woody",Medical Seeds Co,Spain
Malawi,sativa,4.4,"Energetic,Uplifted,Focused,Happy,Creative","Earthy,Flowery,Grape",,"Malawi, Africa"
Mammoth,hybrid,4.5,"Happy,Relaxed,Focused,Uplifted,Creative","Honey,Earthy,Woody",The Bank Cannabis Genetics ,
Mandala-1,hybrid,4.3,"Euphoric,Creative,Energetic,Uplifted,Focused","Apple,Minty,Berry",Mandala Seeds,
Mango,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Focused","Mango,Earthy,Sweet",,
Mango-Dream,sativa,3.9,"Talkative,Happy,Euphoric,Relaxed,Creative","Mango,Tropical,Earthy",,
Mango-Habanero,hybrid,3.5,"Focused,Uplifted,Creative,Energetic,Euphoric","Pepper,Spicy/Herbal,Sweet",Taste Budz,
Mango-Haze,sativa,4.6,"Happy,Relaxed,Euphoric,Focused,Uplifted","Mango,Sweet,Tropical",Mr Nice Seeds ,
Mango-Kush,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Giggly","Mango,Sweet,Citrus",,
Mango-Tango,hybrid,4.6,"Relaxed,Happy,Euphoric,Giggly,Sleepy","Mango,Tropical,Citrus",Elemental Seeds,California
Mangolicious,indica,5,"Uplifted,Focused,Relaxed,Giggly,Happy","Sweet,Tropical,Pineapple",Big Bud Genetics,
Manitoba-Poison,hybrid,4.5,"Relaxed,Happy,Sleepy,Focused,Uplifted","Spicy/Herbal,Earthy,Cheese",,
Maple-Leaf-Indica,indica,4.3,"Relaxed,Sleepy,Tingly,Euphoric,Happy","Sweet,Butter,Woody",,
Maramota-10,hybrid,5,"Talkative,Energetic,Giggly,Relaxed","Sweet,Berry,Earthy",Irie Vibe Seeds,
Marcosus-Marshmellow,hybrid,3.9,"Euphoric,Uplifted,Happy,Creative,Energetic","Minty,Sweet,Berry",Remedy Cultivation,
Margaret-Cho-G,hybrid,4.7,"Euphoric,Focused,Relaxed,Talkative,Uplifted","Sweet,Grapefruit,Honey",,
Marionberry-Kush,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Creative","Berry,Earthy,Sweet",Heroes of the Farm Genetics ,
Marleys-Collie,hybrid,4.3,"Focused,Aroused,Hungry,Tingly,Relaxed",Sweet,Sensi Seeds,"Amsterdam, Netherlands"
Mars-Og,indica,4.4,"Relaxed,Sleepy,Hungry,Euphoric,Focused","Pine,Woody,Citrus",,
Martian-Candy,hybrid,4.7,"Relaxed,Happy,Uplifted,Euphoric,Talkative","Sweet,Woody,Earthy",,
Martian-Mean-Green,hybrid,4.2,"Euphoric,Happy,Hungry,Uplifted,Focused","Sweet,Citrus,Grapefruit",DNA Genetics,"Amsterdam,Canada, California"
Martian-Muffins,indica,0,None,None,Jahnetics ,
Master-Bubba,indica,4.3,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Earthy,Pungent,Skunk",,
Master-Jedi,indica,4.4,"Relaxed,Euphoric,Creative,Focused,Uplifted","Skunk,Spicy/Herbal,Diesel",,
Master-Kush,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Earthy,Pungent,Woody",Dutch White Label Seed Company,Amsterdam
Master-Og,indica,4.4,"Relaxed,Sleepy,Happy,Hungry,Uplifted","Earthy,Pine,Pungent",Cabin Fever Seed Breeders,
Master-Skunk,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Happy,Creative","Skunk,Lemon,Honey",Mr Nice Seeds ,
Master-Yoda,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Focused","Pungent,Sweet,Earthy",,
Matanuska-Thunder-Fuck,sativa,4.3,"Happy,Euphoric,Energetic,Hungry,Relaxed","Earthy,Woody,Pungent",Matanuska Valley’s grasslands,
Mataro-Blue,indica,4.6,"Relaxed,Sleepy,Euphoric,Hungry,Tingly","Berry,Sweet,Earthy",Kannabia Seeds,
Matsu,indica,5,"Euphoric,Tingly,Happy,Sleepy,Hungry",,,
Mau-Mau,hybrid,4,"Uplifted,Happy,Creative,Energetic,Euphoric",,Irie Vibe Seeds,
Maui,sativa,4.2,"Relaxed,Uplifted,Tingly,Happy,Talkative","Citrus,Sweet,Tropical",,
Maui-Berry,hybrid,4,"Happy,Creative,Uplifted,Hungry,Energetic","Berry,Citrus,Pungent",,
Maui-Bubble-Gift,hybrid,4.6,"Relaxed,Uplifted,Happy,Tingly,Euphoric","Sweet,Citrus,Pungent",,
Maui-Citrus-Punch,sativa,4.5,"Relaxed,Energetic,Uplifted,Creative,Euphoric","Citrus,Tropical,Skunk",,
Maui-Haole,hybrid,4.6,"Happy,Creative,Euphoric,Aroused,Sleepy","Pungent,Tropical,Earthy",Pua Mana 1st Hawaiian Pakal_l_ Seed Bank,Hawaii
Maui-Mango-Diesel,hybrid,4.3,"Euphoric,Relaxed,Uplifted,Happy,Creative","Mango,Sweet,Diesel",Pua Mana 1st Hawaiian Pakal_l_ Seed Bank,Hawaii
Maui-Pineapple-Chunk,hybrid,4.7,"Creative,Euphoric,Uplifted,Aroused,Energetic","Tropical,Flowery,Menthol",Pua Mana 1st Hawaiian Pakal_l_ Seed Bank,Hawaii
Maui-Wowie,sativa,4.4,"Happy,Uplifted,Energetic,Relaxed,Creative","Tropical,Pineapple,Citrus",,
Mazar-I-Sharif,indica,4.4,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Spicy/Herbal,Pine",,
Mazar-Kush,indica,4.3,"Relaxed,Sleepy,Happy,Giggly,Hungry","Pungent,Earthy,Spicy/Herbal",,Afghanistan-Pakistan
