Strain,Type,Rating,Effects,Flavor,Breeders,LOCATION
Golden-Tiger,sativa,5,"Talkative,Uplifted,Energetic,Euphoric,Happy","Minty,Lemon,Apricot",Ace Seeds,"Valencia, Spain"
Goldwing,sativa,4.7,"Uplifted,Happy,Euphoric,Creative,Energetic",,,
Goo,indica,4.3,"Relaxed,Sleepy,Hungry,Euphoric,Happy","Berry,Blueberry,Sweet",,
Gooberry,indica,4.3,"Sleepy,Aroused,Hungry,Relaxed,Happy","Blueberry,Berry,Sweet",,
Good-Medicine,hybrid,4.3,"Uplifted,Energetic,Happy,Focused,Talkative","Earthy,Spicy/Herbal,Citrus",,
Gorilla-Biscuit,indica,4.7,"Relaxed,Euphoric,Creative,Sleepy,Happy","Coffee,Pine,Cheese",Seeds of Compassion,
Gorilla-Cookies,hybrid,4.8,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Sweet,Earthy,Minty",Elev8 Seeds,
Gorilla-Grips,indica,5,"Sleepy,Uplifted,Euphoric,Happy,Relaxed","Blueberry,Grape,Berry",SinCity Seeds ,"Las Vegas, Nevada"
Gorkle,sativa,5,"Relaxed,Happy,Creative,Focused,Aroused",Sweet,,
Government-Mule,indica,4,"Euphoric,Relaxed","Sweet,Lemon,Flowery",Cannacopia,
Grand-Doggy-Purps,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Tingly","Sweet,Grape,Earthy",,
Grand-Hindu,indica,4.6,"Relaxed,Happy,Euphoric,Focused,Uplifted","Grape,Berry,Sweet",,
Grand-Hustle,hybrid,4.1,"Uplifted,Relaxed,Euphoric,Focused,Giggly","Honey,Earthy,Citrus",,
Granddaddy-Purple,indica,4.4,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Grape,Berry,Sweet",Ken Estes,
Grandmas-Batch,hybrid,4.8,"Euphoric,Happy,Tingly,Uplifted,Creative","Butter,Lemon,Flowery",,
Grandmas-Sugar-Cookies,indica,5,"Relaxed,Happy,Energetic,Focused,Creative","Pungent,Sweet,Cheese",Johnston’s Genetics,
Grandpa-Larry-Og,indica,4.4,"Euphoric,Happy,Relaxed,Sleepy,Focused","Grape,Pungent,Earthy",Top Tier Genetics,
Grandpas-Breath,indica,4.7,"Relaxed,Euphoric,Sleepy,Uplifted,Creative","Earthy,Flowery,Lavender",,
Grape-Ape,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Grape,Sweet,Berry",Apothecary Genetics,Netherlands
Grape-Calyx,hybrid,5,"Uplifted,Creative,Euphoric,Happy,Hungry","Sweet,Grape,Flowery",,
Grape-Cookies,indica,4.6,"Relaxed,Creative,Uplifted,Sleepy,Euphoric","Grape,Berry,Diesel",Pisces Genetics,
Grape-Crush,hybrid,4.3,"Happy,Uplifted,Talkative,Hungry,Energetic","Grape,Sweet,Berry",,
Grape-Dawg,hybrid,0,None,None,,
Grape-Drink,indica,4.7,"Tingly,Creative,Euphoric,Giggly,Happy","Grape,Sweet,Flowery",,
Grape-God,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Grape,Berry,Sweet",,
Grape-Inferno,indica,4.5,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Grape,Sweet,Diesel",NorStar Genetics,
Grape-Krush,indica,4.3,"Happy,Uplifted,Talkative,Hungry,Energetic","Grape,Sweet,Berry",,
Grape-Kush,hybrid,3.9,"Relaxed,Happy,Giggly,Sleepy,Euphoric","Grape,Sweet,Earthy",,
